,UBar
0,0.6724763979665941
1,0.9117839607201309
2,0.4964788732394366
3,0.6445783132530121
4,0.9947582993593477
5,0.7444889779559118
6,0.4109648176127779
7,0.7584457010294331
8,0.7102421943390721
9,0.18127490039840638
10,0.5787037037037037
11,0.5392602206359507
12,0.40019762845849804
13,0.6166847237269772
14,0.9700272479564033
15,0.9709443099273608
16,0.9602780536246276
17,0.8667917448405253
18,0.7990713381173491
19,0.7784076135004421
20,0.9185144124168514
21,0.6018072289156626
22,0.34624373956594323
23,0.6854289605083976
24,0.7940780619111709
25,0.5890641430073607
26,0.4707740916271722
27,0.9576968272620446
28,0.8291233283803864
29,0.8691756272401434
30,0.7397800958556526
31,0.8623063683304647
32,0.9112903225806451
33,0.6630210482872472
34,0.594013999517258
35,0.7034374591556659
36,0.7152457504282514
37,0.7805540467137425
38,0.7268972638100155
39,0.7045092838196286
40,0.4967359050445104
41,0.6410256410256411
42,0.907563025210084
43,0.5344735435595938
44,0.8968166849615807
45,0.8451296426068675
46,0.7007125890736342
47,0.8752803947958726
48,0.7526652452025586
49,0.7736823361823362
50,0.7017426770485725
51,0.8639876352395672
52,
53,0.8337378640776699
54,0.6765163297045101
55,0.47043478260869565
56,0.7877813504823151
57,0.7560276915731678
58,0.7522585128561501
59,0.698898231371412
60,0.6543408360128617
61,0.7779552715654952
62,0.5411980720679367
63,0.7515527950310559
64,0.3856325947105075
65,0.4433811802232855
66,0.6911976911976911
67,0.859514687100894
68,0.42740841248303935
69,0.6954128440366972
70,0.750620347394541
71,1.0
72,0.5964285714285714
73,0.7897727272727273
74,0.962536023054755
75,0.5100367197062423
76,0.6487884563027498
77,0.9485294117647058
78,0.8574317492416582
79,0.6819082456942539
80,0.850294695481336
81,0.9378158646451329
82,0.6305097043352077
83,0.8030266048328045
84,0.7502724300762804
85,0.7105763141228626
86,0.6498797354179194
87,0.765558049377678
88,0.9026831345826235
89,0.6434782608695652
90,0.515970515970516
91,0.6891151135473766
92,0.7893072289156626
93,0.7273936170212766
94,0.6420765027322405
95,0.8772972972972973
96,0.4955535507152984
97,0.97265625
98,0.9914651493598862
99,0.7480314960629921
100,0.6673758865248227
101,0.8808581545511351
102,0.8767784552845529
103,0.7006070852224698
104,0.7846229669788073
105,0.7358490566037735
106,0.5258574728985249
107,0.6431034482758621
108,0.6547684674751929
109,0.727177334732424
110,0.9585908529048207
111,0.767424313873432
112,0.9226519337016574
113,0.7287387540315736
114,0.7959722981592856
115,0.9628869824692279
116,0.6345481317872262
117,0.7082713977463438
118,0.6710526315789473
119,0.8312236286919831
120,0.42961165048543687
121,0.5309859154929577
122,0.6500722991117538
123,0.9566976188287212
124,0.5690420255807883
125,0.7859530078995342
126,0.7209908735332464
127,0.8372419322509521
128,0.8717067583046965
129,0.7617375372165814
130,0.8733145186578865
131,0.7103874566561134
132,0.8382332055105809
133,0.6673700364473432
134,0.6681481481481482
135,0.9128806789815277
136,0.9136242208370436
137,0.6791720569210866
138,0.7573122529644268
139,0.9207821003829874
140,0.5621621621621622
141,0.591016269747701
142,0.6339318431659948
143,0.7568100051396265
144,0.7876658860265418
145,0.9764243614931237
146,0.47358490566037736
147,0.6583549222797928
148,0.523719165085389
149,1.0
150,0.5673127291775799
151,0.43308468626590607
152,0.7618745035742653
153,0.7006960556844548
154,0.5090655509065551
155,
156,0.7275300778485492
157,0.6323938070662961
158,0.6227390180878553
159,0.6754966887417219
160,0.41494499597531526
161,0.3522114347357066
162,0.7702648475120385
163,0.5615275813295615
164,0.9638281838733986
165,0.9328859060402684
166,0.6842584167424932
167,0.986049676760803
168,0.8258547008547008
169,0.766887417218543
